Shop 1 (Surface) => Hand Scanner, Pistol Ammo, Shuriken Ammo
Shop 2 (Surface) => Weights, reader.exe, yagomap.exe
Shop 2 Alt (Surface) => Mobile Super X2, reader.exe, yagomap.exe
Shop 3 (Surface) => Buckler, Waterproof Case, Pistol
Shop 4 (Guidance) => Shuriken Ammo, guild.exe, Weights
Shop 5 (Illusion) => move.exe, Bomb Ammo, Weights
Shop 6 (Mausoleum) => Hermes' Boots, Rolling Shuriken Ammo, Weights
Shop 7 (Graveyard) => Earth Spear Ammo, Fake Silver Shield, Weights
Shop 8 (Sun) => Rolling Shuriken Ammo, Earth Spear Ammo, bunemon.exe
Shop 9 (Sun) => Heatproof Case, Flare Gun Ammo, Weights
Shop 10 (Sun) => Pistol Ammo, Bomb Ammo, Shuriken Ammo
Shop 11 (Moonlight) => Scriptures, Shuriken Ammo, Pistol Ammo
Shop 12 (Spring) => Weights, Shuriken Ammo, Caltrops Ammo
Shop 12 Alt (Spring) => Shell Horn, guild.exe, randc.exe
Shop 13 (Goddess) => miracle.exe, Caltrops Ammo, Weights
Shop 14 (Inferno) => capstar.exe, Earth Spear Ammo, Weights
Shop 15 (Ruin) => torude.exe, Bomb Ammo, Flare Gun Ammo
Shop 16 (Extinction) => Earth Spear Ammo, Flare Gun Ammo, Chakram Ammo
Shop 17 (Birth) => Pistol Ammo, Ankh Jewel (Chamber of Birth), Weights
Shop 18 (Lil Bro) => Helmet, Caltrops Ammo, Weights
Shop 19 (Big Bro) => Dragon Bone, Earth Spear Ammo, Flare Gun Ammo
Shop 20 (Twin Labs) => Bracelet, Bomb Ammo, Caltrops Ammo
Shop 21 (Unsolvable) => Lamp of Time, Shuriken Ammo, Chakram Ammo
Shop 22 (Endless) => Bomb Ammo, Caltrops Ammo, Weights
Shop 23 (HT) => Flare　Gun　Ammo, Bomb Ammo, Pistol Ammo
Shop 0 (Default) => Weights, Shuriken Ammo, Bomb Ammo
